,country,iso,region,score,rank,change,year,standard_deviation,range
0,New Zealand,NZL,AP,9.55,1,0,1995,,
1,Denmark,DNK,WE/EU,9.32,2,0,1995,,
2,Singapore,SGP,AP,9.26,3,0,1995,,
3,Finland,FIN,WE/EU,9.12,4,0,1995,,
4,Canada,CAN,AME,8.87,5,0,1995,,
5,Sweden,SWE,WE/EU,8.87,6,0,1995,,
6,Australia,AUS,AP,8.8,7,0,1995,,
7,Switzerland,CHE,WE/EU,8.76,8,0,1995,,
8,Netherlands,NLD,WE/EU,8.69,9,0,1995,,
9,Norway,NOR,WE/EU,8.61,10,0,1995,,
10,Ireland,IRL,WE/EU,8.57,11,0,1995,,
11,United Kingdom,GBR,WE/EU,8.57,12,0,1995,,
12,Germany,DEU,WE/EU,8.14,13,0,1995,,
13,Chile,CHL,AME,7.94,14,0,1995,,
14,United States of America,USA,AME,7.79,15,0,1995,,
15,Austria,AUT,WE/EU,7.13,16,0,1995,,
16,Hong Kong,HKG,AP,7.12,17,0,1995,,
17,France,FRA,WE/EU,7,18,0,1995,,
18,Belgium,BEL,WE/EU,6.85,19,0,1995,,
19,Japan,JPN,AP,6.72,20,0,1995,,
20,South Africa,ZAF,SSA,5.62,21,0,1995,,
21,Portugal,PRT,WE/EU,5.56,22,0,1995,,
22,Malaysia,MYS,AP,5.28,23,0,1995,,
23,Argentina,ARG,AME,5.24,24,0,1995,,
24,Taiwan,TWN,AP,5.08,25,0,1995,,
25,Spain,ESP,WE/EU,4.35,26,0,1995,,
26,"Korea, South",KOR,AP,4.29,27,0,1995,,
27,Hungary,HUN,WE/EU,4.12,28,0,1995,,
28,Turkey,TUR,ECA,4.1,29,0,1995,,
29,Greece,GRC,WE/EU,4.04,30,0,1995,,
30,Colombia,COL,AME,3.44,31,0,1995,,
31,Mexico,MEX,AME,3.18,32,0,1995,,
32,Italy,ITA,WE/EU,2.99,33,0,1995,,
33,Thailand,THA,AP,2.79,34,0,1995,,
34,India,IND,AP,2.78,35,0,1995,,
35,Philippines,PHL,AP,2.77,36,0,1995,,
36,Brazil,BRA,AME,2.7,37,0,1995,,
37,Venezuela,VEN,AME,2.66,38,0,1995,,
38,Pakistan,PAK,AP,2.25,39,0,1995,,
39,China,CHN,AP,2.16,40,0,1995,,
40,Indonesia,IDN,AP,1.94,41,0,1995,,
41,Argentina,ARG,AME,3.41,35,-11,1996,,
42,Australia,AUS,AP,8.6,10,-3,1996,,
43,Austria,AUT,WE/EU,7.59,16,0,1996,,
44,Bangladesh,BGD,AP,2.29,51,-50,1996,,
45,Belgium,BEL,WE/EU,6.84,20,-1,1996,,
46,Bolivia,BOL,AME,3.4,36,-35,1996,,
47,Brazil,BRA,AME,2.96,40,-3,1996,,
48,Cameroon,CMR,SSA,2.46,49,-48,1996,,
49,Canada,CAN,AME,8.96,5,0,1996,,
50,Chile,CHL,AME,6.8,21,-7,1996,,
51,China,CHN,AP,2.43,50,-10,1996,,
52,Colombia,COL,AME,2.73,42,-11,1996,,
53,Czech Republic,CZE,WE/EU,5.37,25,-24,1996,,
54,Denmark,DNK,WE/EU,9.33,2,0,1996,,
55,Ecuador,ECU,AME,3.19,39,-38,1996,,
56,Egypt,EGY,MENA,2.84,41,-40,1996,,
57,Finland,FIN,WE/EU,9.05,4,0,1996,,
58,France,FRA,WE/EU,6.96,19,-1,1996,,
59,Germany,DEU,WE/EU,8.27,13,0,1996,,
60,Greece,GRC,WE/EU,5.01,28,2,1996,,
61,Hong Kong,HKG,AP,7.01,18,-1,1996,,
62,Hungary,HUN,WE/EU,4.86,31,-3,1996,,
63,India,IND,AP,2.63,46,-11,1996,,
64,Indonesia,IDN,AP,2.65,45,-4,1996,,
65,Ireland,IRL,WE/EU,8.45,11,0,1996,,
66,Israel,ISR,MENA,7.71,14,-13,1996,,
67,Italy,ITA,WE/EU,3.42,34,-1,1996,,
68,Japan,JPN,AP,7.05,17,3,1996,,
69,Jordan,JOR,MENA,4.89,30,-29,1996,,
70,Kenya,KEN,SSA,2.21,52,-51,1996,,
71,"Korea, South",KOR,AP,5.02,27,0,1996,,
72,Malaysia,MYS,AP,5.32,26,-3,1996,,
73,Mexico,MEX,AME,3.3,38,-6,1996,,
74,Netherlands,NLD,WE/EU,8.71,9,0,1996,,
75,New Zealand,NZL,AP,9.43,1,0,1996,,
76,Nigeria,NGA,SSA,0.69,54,-53,1996,,
77,Norway,NOR,WE/EU,8.87,6,4,1996,,
78,Pakistan,PAK,AP,1,53,-14,1996,,
79,Philippines,PHL,AP,2.69,44,-8,1996,,
80,Poland,POL,WE/EU,5.57,24,-23,1996,,
81,Portugal,PRT,WE/EU,6.53,22,0,1996,,
82,Russia,RUS,ECA,2.58,47,-46,1996,,
83,Singapore,SGP,AP,8.8,7,-4,1996,,
84,South Africa,ZAF,SSA,5.68,23,-2,1996,,
85,Spain,ESP,WE/EU,4.31,32,-6,1996,,
86,Sweden,SWE,WE/EU,9.08,3,3,1996,,
87,Switzerland,CHE,WE/EU,8.76,8,0,1996,,
88,Taiwan,TWN,AP,4.98,29,-4,1996,,
89,Thailand,THA,AP,3.33,37,-3,1996,,
90,Turkey,TUR,ECA,3.54,33,-4,1996,,
91,Uganda,UGA,SSA,2.71,43,-42,1996,,
92,United Kingdom,GBR,WE/EU,8.44,12,0,1996,,
93,United States of America,USA,AME,7.66,15,0,1996,,
94,Venezuela,VEN,AME,2.5,48,-10,1996,,
95,Argentina,ARG,AME,2.81,42,-7,1997,,
96,Australia,AUS,AP,8.86,8,2,1997,,
97,Austria,AUT,WE/EU,7.61,17,-1,1997,,
98,Belgium,BEL,WE/EU,5.25,26,-6,1997,,
99,Bolivia,BOL,AME,2.05,51,-15,1997,,
100,Brazil,BRA,AME,3.56,36,4,1997,,
101,Canada,CAN,AME,9.1,5,0,1997,,
102,Chile,CHL,AME,6.05,23,-2,1997,,
103,China,CHN,AP,2.88,41,9,1997,,
104,Colombia,COL,AME,2.23,50,-8,1997,,
105,Costa Rica,CRI,AME,6.45,22,13,1997,,
106,Czech Republic,CZE,WE/EU,5.2,27,-2,1997,,
107,Denmark,DNK,WE/EU,9.94,1,1,1997,,
108,Finland,FIN,WE/EU,9.48,2,2,1997,,
109,France,FRA,WE/EU,6.66,20,-1,1997,,
110,Germany,DEU,WE/EU,8.23,13,0,1997,,
111,Greece,GRC,WE/EU,5.35,25,3,1997,,
112,Hong Kong,HKG,AP,7.28,18,0,1997,,
113,Hungary,HUN,WE/EU,5.18,28,3,1997,,
114,India,IND,AP,2.75,45,1,1997,,
115,Indonesia,IDN,AP,2.72,46,-1,1997,,
116,Ireland,IRL,WE/EU,8.28,12,-1,1997,,
117,Israel,ISR,MENA,7.97,15,-1,1997,,
118,Italy,ITA,WE/EU,5.03,30,4,1997,,
119,Japan,JPN,AP,6.57,21,-4,1997,,
120,"Korea, South",KOR,AP,4.29,34,-7,1997,,
121,Luxembourg,LUX,WE/EU,8.61,10,25,1997,,
122,Malaysia,MYS,AP,5.01,32,-6,1997,,
123,Mexico,MEX,AME,2.66,47,-9,1997,,
124,Netherlands,NLD,WE/EU,9.03,6,3,1997,,
125,New Zealand,NZL,AP,9.23,4,-3,1997,,
126,Nigeria,NGA,SSA,1.76,52,2,1997,,
127,Norway,NOR,WE/EU,8.92,5,1,1997,,
128,Pakistan,PAK,AP,2.53,48,5,1997,,
129,Philippines,PHL,AP,3.05,40,4,1997,,
130,Poland,POL,WE/EU,5.08,29,-5,1997,,
131,Portugal,PRT,WE/EU,6.97,19,3,1997,,
132,Romania,ROU,WE/EU,3.44,37,-2,1997,,
133,Russia,RUS,ECA,2.27,49,-2,1997,,
134,Singapore,SGP,AP,8.66,9,-2,1997,,
135,South Africa,ZAF,SSA,4.95,33,-10,1997,,
136,Spain,ESP,WE/EU,5.9,24,8,1997,,
137,Sweden,SWE,WE/EU,9.35,3,0,1997,,
138,Switzerland,CHE,WE/EU,8.61,11,-3,1997,,
139,Taiwan,TWN,AP,5.02,31,-2,1997,,
140,Thailand,THA,AP,3.06,39,-2,1997,,
141,Turkey,TUR,ECA,3.21,38,-5,1997,,
142,United Kingdom,GBR,WE/EU,8.22,14,-2,1997,,
143,United States of America,USA,AME,7.61,16,-1,1997,,
144,Uruguay,URY,AME,4.14,35,0,1997,,
145,Venezuela,VEN,AME,2.77,44,4,1997,,
146,Vietnam,VNM,AP,2.79,43,-8,1997,,
147,Argentina,ARG,AME,3,61,-19,1998,0.6,
148,Australia,AUS,AP,8.7,11,-3,1998,0.7,
149,Austria,AUT,WE/EU,7.5,17,0,1998,0.8,
150,Belarus,BLR,ECA,3.9,47,-5,1998,1.9,
151,Belgium,BEL,WE/EU,5.4,28,-2,1998,1.4,
152,Bolivia,BOL,AME,2.8,69,-18,1998,1.2,
153,Botswana,BWA,SSA,6.1,23,19,1998,2.2,
154,Brazil,BRA,AME,4,46,-10,1998,0.4,
155,Bulgaria,BGR,WE/EU,2.9,66,-24,1998,2.3,
156,Cameroon,CMR,SSA,1.4,85,-43,1998,0.5,
157,Canada,CAN,AME,9.2,6,-1,1998,0.5,
158,Chile,CHL,AME,6.8,20,3,1998,0.9,
159,China,CHN,AP,3.5,52,-11,1998,0.7,
160,Colombia,COL,AME,2.2,79,-29,1998,0.8,
161,Costa Rica,CRI,AME,5.6,27,-5,1998,1.6,
162,Czech Republic,CZE,WE/EU,4.8,37,-10,1998,0.8,
163,Denmark,DNK,WE/EU,10,1,0,1998,0.7,
164,Ecuador,ECU,AME,2.3,77,-35,1998,1.5,
165,Egypt,EGY,MENA,2.9,66,-24,1998,0.6,
166,El Salvador,SLV,AME,3.6,51,-9,1998,2.3,
167,Estonia,EST,WE/EU,5.7,26,16,1998,0.5,
168,Finland,FIN,WE/EU,9.6,2,0,1998,0.5,
169,France,FRA,WE/EU,6.7,21,-1,1998,0.6,
170,Germany,DEU,WE/EU,7.9,15,-2,1998,0.4,
171,Ghana,GHA,SSA,3.3,55,-13,1998,1,
172,Greece,GRC,WE/EU,4.9,36,-11,1998,1.7,
173,Guatemala,GTM,AME,3.1,59,-17,1998,2.5,
174,Honduras,HND,AME,1.7,83,-41,1998,0.5,
175,Hong Kong,HKG,AP,7.8,16,2,1998,1.1,
176,Hungary,HUN,WE/EU,5,33,-5,1998,1.2,
177,Iceland,ISL,WE/EU,9.3,5,37,1998,0.9,
178,India,IND,AP,2.9,66,-21,1998,0.6,
179,Indonesia,IDN,AP,2,80,-34,1998,0.9,
180,Ireland,IRL,WE/EU,8.2,14,-2,1998,1.4,
181,Israel,ISR,MENA,7.1,19,-4,1998,1.4,
182,Italy,ITA,WE/EU,4.6,39,-9,1998,0.8,
183,Ivory Coast,CIV,AF,3.1,59,-17,1998,1.7,
184,Jamaica,JAM,AME,3.8,49,-7,1998,0.4,
185,Japan,JPN,AP,5.8,25,-4,1998,1.6,
186,Jordan,JOR,MENA,4.7,38,4,1998,1.1,
187,Kenya,KEN,SSA,2.5,74,-32,1998,0.6,
188,Latvia,LVA,WE/EU,2.7,71,-29,1998,1.9,
189,Luxembourg,LUX,WE/EU,8.7,11,-1,1998,0.9,
190,Malawi,MWI,SSA,4.1,45,-3,1998,0.6,
191,Malaysia,MYS,AP,5.3,29,3,1998,0.4,
192,Mauritius,MUS,SSA,5,33,9,1998,0.8,
193,Mexico,MEX,AME,3.3,55,-8,1998,0.6,
194,Morocco,MAR,MENA,3.7,50,-8,1998,1.8,
195,Namibia,NAM,SSA,5.3,29,13,1998,1,
196,Netherlands,NLD,WE/EU,9,8,-2,1998,0.7,
197,New Zealand,NZL,AP,9.4,4,0,1998,0.7,
198,Nicaragua,NIC,AME,3,61,-19,1998,2.5,
199,Nigeria,NGA,SSA,1.9,81,-29,1998,0.5,
200,Norway,NOR,WE/EU,9,8,-3,1998,0.7,
201,Pakistan,PAK,AP,2.7,71,-23,1998,1.4,
202,Paraguay,PRY,AME,1.5,84,-42,1998,0.5,
203,Peru,PER,AME,4.5,41,1,1998,0.8,
204,Philippines,PHL,AP,3.3,55,-15,1998,1.1,
205,Poland,POL,WE/EU,4.6,39,-10,1998,1.6,
206,Portugal,PRT,WE/EU,6.5,22,-3,1998,1,
207,Romania,ROU,WE/EU,3,61,-24,1998,1.5,
208,Russia,RUS,ECA,2.4,76,-27,1998,0.9,
209,Senegal,SEN,SSA,3.3,55,-13,1998,0.8,
210,Singapore,SGP,AP,9.1,7,2,1998,1,
211,Slovak Republic,SVK,WE/EU,3.9,47,-5,1998,1.6,
212,South Africa,ZAF,SSA,5.2,32,1,1998,0.8,
213,South Korea,KOR,AP,4.2,43,-9,1998,1.2,
214,Spain,ESP,WE/EU,6.1,23,1,1998,1.3,
215,Sweden,SWE,WE/EU,9.5,3,0,1998,0.5,
216,Switzerland,CHE,WE/EU,8.9,10,1,1998,0.6,
217,Taiwan,TWN,AP,5.3,29,2,1998,0.7,
218,Tanzania,TZA,SSA,1.9,81,-39,1998,1.1,
219,Thailand,THA,AP,3,61,-22,1998,0.7,
220,Tunisia,TUN,MENA,5,33,9,1998,2.1,
221,Turkey,TUR,ECA,3.4,54,-16,1998,1,
222,Uganda,UGA,SSA,2.6,73,-31,1998,0.8,
223,Ukraine,UKR,ECA,2.8,69,-27,1998,1.6,
224,United Kingdom,GBR,WE/EU,8.7,11,3,1998,0.5,
225,United States,USA,AME,7.5,17,-1,1998,0.9,
226,Uruguay,URY,AME,4.3,42,-7,1998,0.9,
227,Venezuela,VEN,AME,2.3,77,-33,1998,0.8,
228,Vietnam,VNM,AP,2.5,74,-31,1998,0.5,
229,Yugoslavia,YUG,ECA,3,61,-19,1998,1.5,
230,Zambia,ZMB,SSA,3.5,52,-10,1998,1.6,
231,Zimbabwe,ZWE,SSA,4.2,43,-1,1998,2.2,
232,Albania,ALB,ECA,2.3,84,-23,1999,0.3,
233,Argentina,ARG,AME,3,71,-10,1999,0.8,
234,Armenia,ARM,ECA,2.5,80,-19,1999,0.4,
235,Australia,AUS,AP,8.7,12,-1,1999,0.7,
236,Austria,AUT,WE/EU,7.6,17,0,1999,0.8,
237,Azerbaijan,AZE,ECA,1.7,96,-35,1999,0.6,
238,Belarus,BLR,ECA,3.4,58,-11,1999,1.4,
239,Belgium,BEL,WE/EU,5.3,29,-1,1999,1.3,
240,Bolivia,BOL,AME,2.5,80,-11,1999,1.1,
241,Botswana,BWA,SSA,6.1,24,-1,1999,1.7,
242,Brazil,BRA,AME,4.1,45,1,1999,0.8,
243,Bulgaria,BGR,WE/EU,3.3,63,3,1999,1.4,
244,Cameroon,CMR,SSA,1.5,99,-14,1999,0.5,
245,Canada,CAN,AME,9.2,5,1,1999,0.5,
246,Chile,CHL,AME,6.9,19,1,1999,1,
247,China,CHN,AP,3.4,58,-6,1999,0.7,
248,Colombia,COL,AME,2.9,72,7,1999,0.5,
249,Costa Rica,CRI,AME,5.1,32,-5,1999,1.5,
250,Croatia,HRV,WE/EU,2.7,74,-13,1999,0.9,
251,Czech Republic,CZE,WE/EU,4.6,39,-2,1999,0.8,
252,Denmark,DNK,WE/EU,10,1,0,1999,0.8,
253,Ecuador,ECU,AME,2.4,82,-5,1999,1.3,
254,Egypt,EGY,MENA,3.3,63,3,1999,0.6,
255,El Salvador,SLV,AME,3.9,49,2,1999,1.9,
256,Estonia,EST,WE/EU,5.7,27,-1,1999,1.2,
257,Finland,FIN,WE/EU,9.8,2,0,1999,0.5,
258,France,FRA,WE/EU,6.6,22,-1,1999,1,
259,Georgia,GEO,ECA,2.3,84,-23,1999,0.7,
260,Germany,DEU,WE/EU,8,14,1,1999,0.5,
261,Ghana,GHA,SSA,3.3,63,-8,1999,1,
262,Greece,GRC,WE/EU,4.9,36,0,1999,1.7,
263,Guatemala,GTM,AME,3.2,68,-9,1999,2.5,
264,Honduras,HND,AME,1.8,94,-11,1999,0.5,
265,Hong Kong,HKG,AP,7.7,15,1,1999,1.6,
266,Hungary,HUN,WE/EU,5.2,31,2,1999,1.1,
267,Iceland,ISL,WE/EU,9.2,5,0,1999,1.2,
268,India,IND,AP,2.9,72,-6,1999,0.6,
269,Indonesia,IDN,AP,1.7,96,-16,1999,0.9,
270,Ireland,IRL,WE/EU,7.7,15,-1,1999,1.9,
271,Israel,ISR,MENA,6.8,20,-1,1999,1.3,
272,Italy,ITA,WE/EU,4.7,38,1,1999,0.6,
273,Ivory Coast,CIV,AF,2.6,75,-16,1999,1,
274,Jamaica,JAM,AME,3.8,50,-1,1999,0.4,
275,Japan,JPN,AP,6,25,0,1999,1.6,
276,Jordan,JOR,MENA,4.4,41,-3,1999,0.8,
277,Kazakhstan,KAZ,ECA,2.3,84,-23,1999,1.3,
278,Kenya,KEN,SSA,2,90,-16,1999,0.5,
279,Kyrgyz Republic,KGZ,ECA,2.2,87,-26,1999,0.4,
280,Latvia,LVA,WE/EU,3.4,58,13,1999,1.3,
281,Lithuania,LTU,WE/EU,3.8,50,11,1999,0.5,
282,Luxembourg,LUX,WE/EU,8.8,11,0,1999,0.9,
283,Macedonia,MKD,ECA,3.3,63,-2,1999,1.2,
284,Malawi,MWI,SSA,4.1,45,0,1999,0.5,
285,Malaysia,MYS,AP,5.1,32,-3,1999,0.5,
286,Mauritius,MUS,SSA,4.9,36,-3,1999,0.7,
287,Mexico,MEX,AME,3.4,58,-3,1999,0.5,
288,Moldova,MDA,ECA,2.6,75,-14,1999,0.8,
289,Mongolia,MNG,AP,4.3,43,18,1999,1,
290,Morocco,MAR,MENA,4.1,45,5,1999,1.7,
291,Mozambique,MOZ,SSA,3.5,56,5,1999,2.2,
292,Namibia,NAM,SSA,5.3,29,0,1999,0.9,
293,Netherlands,NLD,WE/EU,9,8,0,1999,0.5,
294,New Zealand,NZL,AP,9.4,3,1,1999,0.8,
295,Nicaragua,NIC,AME,3.1,70,-9,1999,2.5,
296,Nigeria,NGA,SSA,1.6,98,-17,1999,0.8,
297,Norway,NOR,WE/EU,8.9,9,-1,1999,0.8,
298,Pakistan,PAK,AP,2.2,87,-16,1999,0.7,
299,Paraguay,PRY,AME,2,90,-6,1999,0.8,
300,Peru,PER,AME,4.5,40,1,1999,0.8,
301,Philippines,PHL,AP,3.6,54,1,1999,1.4,
302,Poland,POL,WE/EU,4.2,44,-5,1999,0.8,
303,Portugal,PRT,WE/EU,6.7,21,1,1999,1,
304,Romania,ROU,WE/EU,3.3,63,-2,1999,1,
305,Russia,RUS,ECA,2.4,82,-6,1999,1,
306,Senegal,SEN,SSA,3.4,58,-3,1999,0.8,
307,Singapore,SGP,AP,9.1,7,0,1999,0.9,
308,Slovak Republic,SVK,WE/EU,3.7,53,-6,1999,1.5,
309,Slovenia,SVN,WE/EU,6,25,36,1999,1.3,
310,South Africa,ZAF,SSA,5,34,-2,1999,0.8,
311,South Korea,KOR,AP,3.8,50,-7,1999,0.9,
312,Spain,ESP,WE/EU,6.6,22,1,1999,0.7,
313,Sweden,SWE,WE/EU,9.4,3,0,1999,0.6,
314,Switzerland,CHE,WE/EU,8.9,9,1,1999,0.6,
315,Taiwan,TWN,AP,5.6,28,1,1999,0.9,
316,Tanzania,TZA,SSA,1.9,93,-12,1999,1.1,
317,Thailand,THA,AP,3.2,68,-7,1999,0.7,
318,Tunisia,TUN,MENA,5,34,-1,1999,1.9,
319,Turkey,TUR,ECA,3.6,54,0,1999,1,
320,Uganda,UGA,SSA,2.2,87,-14,1999,0.7,
321,Ukraine,UKR,ECA,2.6,75,-6,1999,1.4,
322,United Kingdom,GBR,WE/EU,8.6,13,-2,1999,0.5,
323,Uruguay,USA,AME,4.4,41,-24,1999,0.9,
324,USA,URY,AME,7.5,18,24,1999,0.8,
325,Uzbekistan,UZB,ECA,1.8,94,-33,1999,0.4,
326,Venezuela,VEN,AME,2.6,75,2,1999,0.8,
327,Vietnam,VNM,AP,2.6,75,-1,1999,0.5,
328,Yugoslavia,YUG,ECA,2,90,-29,1999,1.1,
329,Zambia,ZMB,SSA,3.5,56,-4,1999,1.5,
330,Zimbabwe,ZWE,SSA,4.1,45,-2,1999,1.4,
331,Angola,AGO,SSA,1.7,85,-1,2000,1.6 - 2.5,
332,Argentina,ARG,AME,3.5,52,19,2000,3.0 - 4.5,
333,Armenia,ARM,ECA,2.5,76,4,2000,2.4 - 3.5,
334,Australia,AUS,AP,8.3,13,-1,2000,6.7 - 9.3,
335,Austria,AUT,WE/EU,7.7,15,2,2000,6.2 - 8.5,
336,Azerbaijan,AZE,ECA,1.5,87,9,2000,0.6 - 2.5,
337,Belarus,BLR,ECA,4.1,43,15,2000,3.4 - 4.9,
338,Belgium,BEL,WE/EU,6.1,25,4,2000,4.3 - 8.8,
339,Bolivia,BOL,AME,2.7,71,9,2000,1.7 - 4.3,
340,Botswana,BWA,SSA,6,26,-2,2000,4.3 - 8.2,
341,Brazil,BRA,AME,3.9,49,-4,2000,3.6 - 4.5,
342,Bulgaria,BGR,WE/EU,3.5,52,11,2000,3.3 - 4.3,
343,Burkina Faso,BFA,SSA,3,65,19,2000,2.5 - 4.4,
344,Cameroon,CMR,SSA,2,84,15,2000,1.6 - 3.0,
345,Canada,CAN,AME,9.2,5,0,2000,8.1 - 9.9,
346,Chile,CHL,AME,7.4,18,1,2000,5.7 - 8.4,
347,China,CHN,AP,3.1,63,-5,2000,0.6 - 4.3,
348,Colombia,COL,AME,3.2,60,12,2000,2.5 - 4.5,
349,Costa Rica,CRI,AME,5.4,30,2,2000,3.8 - 8.1,
350,Cu00f4te-d'Ivoire,CIV,SSA,2.7,71,4,2000,2.1 - 3.6,
351,Croatia,HRV,WE/EU,3.7,51,23,2000,3.4 - 4.3,
352,Czech Republic,CZE,WE/EU,4.3,42,-3,2000,3.3 - 6.2,
353,Denmark,DNK,WE/EU,9.8,2,-1,2000,8.6 - 10.6,
354,Ecuador,ECU,AME,2.6,74,8,2000,2.1 - 4.3,
355,Egypt,EGY,MENA,3.1,63,0,2000,2.3 - 4.1,
356,El Salvador,SLV,AME,4.1,43,6,2000,2.1 - 6.2,
357,Estonia,EST,WE/EU,5.7,27,0,2000,4.4 - 8.1,
358,Ethiopia,ETH,SSA,3.2,60,24,2000,2.5 - 3.9,
359,Finland,FIN,WE/EU,10,1,1,2000,9.0 - 10.4,
360,France,FRA,WE/EU,6.7,21,1,2000,4.3 - 7.7,
361,Germany,DEU,WE/EU,7.6,17,-3,2000,6.2 - 8.4,
362,Ghana,GHA,SSA,3.5,52,11,2000,2.5 - 4.7,
363,Greece,GRC,WE/EU,4.9,35,1,2000,3.7 - 8.1,
364,Hong Kong,HKG,AP,7.7,15,0,2000,4.3 - 8.6,
365,Hungary,HUN,WE/EU,5.2,32,-1,2000,3.9 - 8.1,
366,Iceland,ISL,WE/EU,9.1,6,-1,2000,7.3 - 9.9,
367,India,IND,AP,2.8,69,3,2000,2.3 - 4.3,
368,Indonesia,IDN,AP,1.7,85,11,2000,0.5 - 3.2,
369,Ireland,IRL,WE/EU,7.2,19,-4,2000,2.5 - 8.5,
370,Israel,ISR,MENA,6.6,22,-2,2000,4.3 - 7.9,
371,Italy,ITA,WE/EU,4.6,39,-1,2000,4.0 - 5.6,
372,Japan,JPN,AP,6.4,23,2,2000,4.3 - 7.8,
373,Jordan,JOR,MENA,4.6,39,2,2000,3.8 - 5.7,
374,Kazakhstan,KAZ,ECA,3,65,19,2000,2.1 - 4.3,
375,Kenya,KEN,SSA,2.1,82,8,2000,2.1 - 2.7,
376,Latvia,LVA,WE/EU,3.4,57,1,2000,2.1 - 4.4,
377,Lithuania,LTU,WE/EU,4.1,43,7,2000,3.8 - 4.4,
378,Luxembourg,LUX,WE/EU,8.6,11,0,2000,7.4 - 9.3,
379,Malawi,MWI,SSA,4.1,43,2,2000,3.8 - 4.8,
380,Malaysia,MYS,AP,4.8,36,-4,2000,3.8 - 5.9,
381,Mauritius,MUS,SSA,4.7,37,-1,2000,3.9 - 5.6,
382,Mexico,MEX,AME,3.3,59,-1,2000,2.5 - 4.1,
383,Moldova,MDA,ECA,2.6,74,1,2000,1.8 - 3.8,
384,Morocco,MAR,MENA,4.7,37,8,2000,4.2 - 5.6,
385,Mozambique,MOZ,SSA,2.2,81,-25,2000,2.4 - 2.7,
386,Namibia,NAM,SSA,5.4,30,-1,2000,4.3 - 6.1,
387,Netherlands,NLD,WE/EU,8.9,9,-1,2000,8.1 - 9.9,
388,New Zealand,NZL,AP,9.4,3,0,2000,8.1 - 10.2,
389,Nigeria,NGA,SSA,1.2,90,8,2000,0.6 - 2.1,
390,Norway,NOR,WE/EU,9.1,6,3,2000,7.6 - 9.5,
391,Peru,PER,AME,4.4,41,-1,2000,3.8 - 5.0,
392,Philippines,PHL,AP,2.8,69,-15,2000,1.7 - 4.7,
393,Poland,POL,WE/EU,4.1,43,1,2000,2.8 - 5.6,
394,Portugal,PRT,WE/EU,6.4,23,-2,2000,5.3 - 8.1,
395,Romania,ROU,WE/EU,2.9,68,-5,2000,2.1 - 4.3,
396,Russia,RUS,ECA,2.1,82,0,2000,0.6 - 4.1,
397,Senegal,SEN,SSA,3.5,52,6,2000,2.8 - 4.3,
398,Singapore,SGP,AP,9.1,6,1,2000,6.2 - 9.7,
399,Slovak Republic,SVK,WE/EU,3.5,52,1,2000,2.2 - 6.2,
400,Slovenia,SVN,WE/EU,5.5,28,-3,2000,4.1 - 7.3,
401,South Africa,ZAF,SSA,5,34,0,2000,3.8 - 6.6,
402,South Korea,KOR,AP,4,48,2,2000,3.4 - 5.6,
403,Spain,ESP,WE/EU,7,20,2,2000,5.9 - 8.0,
404,Sweden,SWE,WE/EU,9.4,3,0,2000,8.1 - 9.9,
405,Switzerland,CHE,WE/EU,8.6,11,-2,2000,8.1 - 9.1,
406,Taiwan,TWN,AP,5.5,28,0,2000,2.5 - 7.2,
407,Tanzania,TZA,SSA,2.5,76,17,2000,2.1 - 3.5,
408,Thailand,THA,AP,3.2,60,8,2000,2.4 - 4.0,
409,Tunisia,TUN,MENA,5.2,32,2,2000,3.8 - 7.1,
410,Turkey,TUR,ECA,3.8,50,4,2000,2.1 - 4.5,
411,Uganda,UGA,SSA,2.3,80,7,2000,2.1 - 3.5,
412,Ukraine,UKR,ECA,1.5,87,-12,2000,0.5 - 2.5,
413,United Kingdom,GBR,WE/EU,8.7,10,3,2000,7.3 - 9.7,
414,USA,USA,AME,7.8,14,27,2000,6.2 - 9.2,
415,Uzbekistan,UZB,ECA,2.4,79,15,2000,2.1 - 3.7,
416,Venezuela,VEN,AME,2.7,71,4,2000,2.1 - 4.3,
417,Vietnam,VNM,AP,2.5,76,-1,2000,2.1 - 3.8,
418,Yugoslavia,YUG,ECA,1.3,89,1,2000,0.6 - 2.4,
419,Zambia,ZMB,SSA,3.4,57,-1,2000,2.1 - 5.1,
420,Zimbabwe,ZWE,SSA,3,65,-20,2000,0.6 - 4.9,
421,Argentina,ARG,AME,3.5,57,-5,2001,2.9 - 4.4,
422,Australia,AUS,AP,8.5,11,2,2001,6.8 - 9.4,
423,Austria,AUT,WE/EU,7.8,15,0,2001,7.2 - 8.7,
424,Azerbaijan,AZE,ECA,2,84,3,2001,1.8 - 2.2,
425,Bangladesh,BGD,AP,0.4,91,-6,2001,-1.7 - 3.8,
426,Belgium,BEL,WE/EU,6.6,24,1,2001,5.7 - 7.6,
427,Bolivia,BOL,AME,2,84,-13,2001,1.5 - 3.0,
428,Botswana,BWA,SSA,6,26,0,2001,5.6 - 6.6,
429,Brazil,BRA,AME,4,46,3,2001,3.5 - 4.5,
430,Bulgaria,BGR,WE/EU,3.9,47,5,2001,3.2 - 5.0,
431,Cameroon,CMR,SSA,2,84,0,2001,1.2 - 2.9,
432,Canada,CAN,AME,8.9,7,-2,2001,8.2 - 9.7,
433,Chile,CHL,AME,7.5,18,0,2001,6.5 - 8.5,
434,China,CHN,AP,3.5,57,6,2001,2.7 - 3.9,
